event_type,n,momentum_rate,avg_range,avg_volume,avg_dist_midnight,reversal_rate,edge,direction
US Prelim Unit Labor Costs q/q,2,1.0,0.02784035957320636,99.0,-0.2911788936593186,0.0,50.0,MOMENTUM
US S&P/CS Composite-20 HPI y/y,1,0.0,0.06800013268318572,432.0,-0.25476442562202223,1.0,50.0,REVERSAL
US Goods Trade Balance,2,0.0,0.09115817850766444,202.5,-0.09859073247114772,1.0,50.0,REVERSAL
US Prelim Benchmark Payrolls Revision,4,0.0,0.16257535135394025,3337.25,0.28881773663214827,1.0,50.0,REVERSAL
US Final Manufacturing PMI,2,0.0,0.09279692171342233,2527.5,0.1277089353345932,1.0,50.0,REVERSAL
US Fed Monetary Policy Report,1,1.0,0.06207599875848002,693.0,0.5349262247581688,0.0,50.0,MOMENTUM
US Fed Chair Nomination Vote,2,1.0,0.03926228981221029,129.0,0.42679103941122937,0.0,50.0,MOMENTUM
US Industrial Production m/m,1,1.0,0.08763060330299965,458.0,,0.0,50.0,MOMENTUM
US Durable Goods Orders m/m,1,0.0,0.07084514085680946,1108.0,0.2381051840093571,1.0,50.0,REVERSAL
US Housing Starts,1,1.0,0.031249511726379273,323.0,0.23178237514290637,0.0,50.0,MOMENTUM
US ADP Weekly Employment Change,2,0.0,0.03184127995700567,117.5,0.1751564857549115,1.0,50.0,REVERSAL
US Bank Stress Test Results,1,0.0,0.25067310370439144,828.0,1.2692741632192555,1.0,50.0,REVERSAL
US Revised UoM Consumer Sentiment,11,0.09090909090909091,0.16526334862755077,3653.818181818182,0.42399920112288497,0.9090909090909091,40.90909090909091,REVERSAL
US Fed Gov Nomination Hearings,7,0.8571428571428571,0.14595689930459002,2098.1428571428573,-0.4155498627353445,0.1428571428571429,35.71428571428571,MOMENTUM
US Chicago PMI,4,0.25,0.05949429328251723,1458.25,-0.10884362259795205,0.75,25.0,REVERSAL
US FOMC Economic Projections,53,0.7169811320754716,0.4365481679088254,3607.5849056603774,0.23113992305193345,0.28301886792452835,21.698113207547166,MOMENTUM
