event_type,event_datetime,horizon_minutes,news_candle_direction,release_open,release_high,release_low,release_close,future_close,raw_forward_return_pct,direction_normalized_return_pct
US Fed Chairman Bernanke Testifies,2010-06-09 14:00:00+00:00,30,down,1802.75,1805.25,1801.5,1802.0,1801.5,-0.02774694783573807,0.02774694783573807
US Fed Chairman Bernanke Testifies,2010-06-09 14:00:00+00:00,90,down,1802.75,1805.25,1801.5,1802.0,1821.25,1.0682574916759158,-1.0682574916759158
US Trade Balance,2010-06-10 12:30:00+00:00,30,down,1795.5,1795.75,1793.0,1794.25,1792.75,-0.08360039013515397,0.08360039013515397
US Trade Balance,2010-06-10 12:30:00+00:00,90,down,1795.5,1795.75,1793.0,1794.25,1817.25,1.2818726487390275,-1.2818726487390275
US Unemployment Claims,2010-06-10 12:30:00+00:00,30,down,1795.5,1795.75,1793.0,1794.25,1792.75,-0.08360039013515397,0.08360039013515397
US Unemployment Claims,2010-06-10 12:30:00+00:00,90,down,1795.5,1795.75,1793.0,1794.25,1817.25,1.2818726487390275,-1.2818726487390275
US Core Retail Sales m/m,2010-06-11 12:30:00+00:00,30,down,1823.0,1823.0,1809.25,1812.75,1809.75,-0.16549441456350847,0.16549441456350847
US Core Retail Sales m/m,2010-06-11 12:30:00+00:00,90,down,1823.0,1823.0,1809.25,1812.75,1826.25,0.7447248655357882,-0.7447248655357882
US Retail Sales m/m,2010-06-11 12:30:00+00:00,30,down,1823.0,1823.0,1809.25,1812.75,1809.75,-0.16549441456350847,0.16549441456350847
US Retail Sales m/m,2010-06-11 12:30:00+00:00,90,down,1823.0,1823.0,1809.25,1812.75,1826.25,0.7447248655357882,-0.7447248655357882
US Prelim UoM Consumer Sentiment,2010-06-11 13:55:00+00:00,30,up,1820.0,1825.75,1819.25,1824.0,1838.25,0.78125,0.78125
US Prelim UoM Consumer Sentiment,2010-06-11 13:55:00+00:00,90,up,1820.0,1825.75,1819.25,1824.0,1824.0,0.0,0.0
US TIC Long-Term Purchases,2010-06-15 13:00:00+00:00,30,up,1852.75,1854.5,1852.5,1854.5,1855.75,0.06740361283364789,0.06740361283364789
US TIC Long-Term Purchases,2010-06-15 13:00:00+00:00,90,up,1852.75,1854.5,1852.5,1854.5,1871.75,0.9301698571043407,0.9301698571043407
US Building Permits,2010-06-16 12:30:00+00:00,30,down,1881.5,1881.5,1879.0,1879.5,1883.25,0.19952114924181963,-0.19952114924181963
US Building Permits,2010-06-16 12:30:00+00:00,90,down,1881.5,1881.5,1879.0,1879.5,1896.25,0.891194466613461,-0.891194466613461
US PPI m/m,2010-06-16 12:30:00+00:00,30,down,1881.5,1881.5,1879.0,1879.5,1883.25,0.19952114924181963,-0.19952114924181963
US PPI m/m,2010-06-16 12:30:00+00:00,90,down,1881.5,1881.5,1879.0,1879.5,1896.25,0.891194466613461,-0.891194466613461
US CPI y/y,2010-06-17 12:30:00+00:00,30,down,1915.0,1918.25,1908.25,1909.0,1913.0,0.20953378732320588,-0.20953378732320588
US CPI y/y,2010-06-17 12:30:00+00:00,90,down,1915.0,1918.25,1908.25,1909.0,1906.0,-0.1571503404924044,0.1571503404924044
US Core CPI m/m,2010-06-17 12:30:00+00:00,30,down,1915.0,1918.25,1908.25,1909.0,1913.0,0.20953378732320588,-0.20953378732320588
US Core CPI m/m,2010-06-17 12:30:00+00:00,90,down,1915.0,1918.25,1908.25,1909.0,1906.0,-0.1571503404924044,0.1571503404924044
US Unemployment Claims,2010-06-17 12:30:00+00:00,30,down,1915.0,1918.25,1908.25,1909.0,1913.0,0.20953378732320588,-0.20953378732320588
US Unemployment Claims,2010-06-17 12:30:00+00:00,90,down,1915.0,1918.25,1908.25,1909.0,1906.0,-0.1571503404924044,0.1571503404924044
US Philly Fed Manufacturing Index,2010-06-17 14:00:00+00:00,30,down,1913.5,1913.75,1904.75,1906.0,1895.25,-0.5640083945435467,0.5640083945435467
US Philly Fed Manufacturing Index,2010-06-17 14:00:00+00:00,90,down,1913.5,1913.75,1904.75,1906.0,1903.0,-0.15739769150052466,0.15739769150052466
US Existing Home Sales,2010-06-22 14:00:00+00:00,30,flat,1907.25,1908.0,1903.25,1907.25,1900.25,-0.36702057936820026,
US Existing Home Sales,2010-06-22 14:00:00+00:00,90,flat,1907.25,1908.0,1903.25,1907.25,1907.0,-0.013107877834578582,
US New Home Sales,2010-06-23 14:00:00+00:00,30,down,1876.25,1876.75,1865.5,1868.25,1860.75,-0.40144520272982737,0.40144520272982737
US New Home Sales,2010-06-23 14:00:00+00:00,90,down,1876.25,1876.75,1865.5,1868.25,1869.5,0.06690753378830457,-0.06690753378830457
US FOMC Statement,2010-06-23 18:15:00+00:00,30,up,1875.0,1876.75,1875.0,1876.75,1876.5,-0.013320900492873319,-0.013320900492873319
US FOMC Statement,2010-06-23 18:15:00+00:00,90,up,1875.0,1876.75,1875.0,1876.75,1877.0,0.013320900492873319,0.013320900492873319
US Federal Funds Rate,2010-06-23 18:15:00+00:00,30,up,1875.0,1876.75,1875.0,1876.75,1876.5,-0.013320900492873319,-0.013320900492873319
US Federal Funds Rate,2010-06-23 18:15:00+00:00,90,up,1875.0,1876.75,1875.0,1876.75,1877.0,0.013320900492873319,0.013320900492873319
US Core Durable Goods Orders m/m,2010-06-24 12:30:00+00:00,30,up,1857.25,1861.0,1856.0,1860.0,1862.5,0.13440860215053765,0.13440860215053765
US Core Durable Goods Orders m/m,2010-06-24 12:30:00+00:00,90,up,1857.25,1861.0,1856.0,1860.0,1852.5,-0.4032258064516129,-0.4032258064516129
US Unemployment Claims,2010-06-24 12:30:00+00:00,30,up,1857.25,1861.0,1856.0,1860.0,1862.5,0.13440860215053765,0.13440860215053765
US Unemployment Claims,2010-06-24 12:30:00+00:00,90,up,1857.25,1861.0,1856.0,1860.0,1852.5,-0.4032258064516129,-0.4032258064516129
US CB Consumer Confidence,2010-06-29 14:00:00+00:00,30,down,1782.75,1786.75,1775.5,1780.5,1769.5,-0.6178039876439202,0.6178039876439202
US CB Consumer Confidence,2010-06-29 14:00:00+00:00,90,down,1782.75,1786.75,1775.5,1780.5,1780.5,0.0,-0.0
US ADP Non-Farm Employment Change,2010-06-30 12:15:00+00:00,30,down,1771.0,1771.0,1763.25,1767.0,1766.25,-0.042444821731748725,0.042444821731748725
